Subject,Start Date,End Date,All Day,Description,Location
Projekttag Weihnachten,2025-12-19 08:00,2025-12-19 11:30,FALSE,Projekttag Weihnachten,
2. Schulversammlung - Weihnachtssingen,2025-12-19 08:50,2025-12-19 09:35,FALSE,2. Schulversammlung - Weihnachtssingen,
Weihnachtsferien,2025-12-20,2026-01-04,TRUE,Hort geschlossen!,
1. Schultag nach den Weihnachtsferien,2026-01-05,2026-01-05,TRUE,,
4. ESL,2026-01-07 13:45,2026-01-07 15:00,FALSE,,
"Hockeyturnier, Klasse 3+4",2026-01-14,2026-01-14,TRUE,,
"2-Felder-Ball-Turnier, Klasse 3+4",2026-01-15 08:50,2026-01-15 12:40,FALSE,2. - 5. Stunde,
Elternabend „Nein-Tonne“ für Klasse 1 + 2,2026-01-22 18:00,2026-01-22 19:30,FALSE,,
Theater: „Nein-Tonne“ Klasse 1 und 2,2026-01-27 08:50,2026-01-27 11:30,FALSE,2. – 4. Stunde,
Zeugnisausgabe,2026-01-30 09:55,2026-01-30 10:40,FALSE,Unterrichtsende nach der 3. Stunde,
Winterferien,2026-01-31,2026-02-08,TRUE,,
1. Schultag nach den Winterferien,2026-02-09,2026-02-09,TRUE,,
Fachkonferenzen/ Bestelllisten beschließen,2026-02-10,2026-02-27,TRUE,,
2. Präventionsteam,2026-02-11 15:00,2026-02-11 16:30,FALSE,,
Fasching,2026-02-16,2026-02-16,TRUE,,
5. ESL und 2. Steuergruppe,2026-02-18 13:45,2026-02-18 15:00,FALSE,,
Schulfestvorbereitungsgruppe,2026-02-18 15:00,2026-02-18 16:00,FALSE,,
Elternversammlungen,2026-02-23,2026-02-26,TRUE,,
5. KSK,2026-02-25 13:45,2026-02-25 15:00,FALSE,,
3. EFöB Teamsitzung,2026-03-03 10:00,2026-03-03 11:20,FALSE,Thema: GK/SK,
3. Gesamtkonferenz (GK),2026-03-04 16:30,2026-03-04 18:30,FALSE,,
3. Gesamtschülervertretung (GSV),2026-03-06 10:45,2026-03-06 11:30,FALSE,,
3. Gesamtelternvertretung (GEV),2026-03-10 19:00,2026-03-10 21:00,FALSE,,
3. Schulkonferenz (SK),2026-03-11 16:30,2026-03-11 18:00,FALSE,,
DB Projektwoche,2026-03-18 13:45,2026-03-18 14:15,FALSE,,
1. Finanzausschuss/ Prüfung der Bücherlisten,2026-03-18 14:15,2026-03-18 15:30,FALSE,,
Känguru-Wettbewerb für 3.-6. Klassen,2026-03-19 09:55,2026-03-19 11:30,FALSE,,
Projektwoche Umwelt- und Mobilitätserziehung,2026-03-23,2026-03-27,TRUE,,
Bauausschuss,2026-03-25 13:45,2026-03-25 15:00,FALSE,,
Schulfestvorbereitungsgruppe,2026-03-25 15:00,2026-03-25 16:30,FALSE,,
Tag der offenen Tür,2026-03-27 09:30,2026-03-27 11:00,FALSE,,
